日期,操作,股价,PE,回撤,交易股数,交易金额,总持仓,总投入,当前市值,收益
2011-03-28,BUY,4.841949612193876,47.0664,-26.284197077947567,2065.2837804871383,10000.0,2065.2837804871383,10000.0,10000.0,0.0
2011-06-16,BUY,4.917756706653821,42.7929,-25.130079153789598,2033.4474835792112,10000.0,4098.7312640663495,20000.0,20156.563162633982,156.56316263398185
2011-09-20,BUY,4.926101581616016,41.5035,-25.003033395904552,2030.0027992357159,10000.0,6128.734063302065,30000.0,30190.766562536253,190.76656253625333
2011-10-20,BUY,4.723246109922646,39.7906,-28.0913872968517,2117.1880031810947,10000.0,8245.92206648316,40000.0,38947.51932324188,-1052.4806767581176
2012-01-04,BUY,4.7416235873674815,38.4118,-25.16389197188309,2108.9822538089606,10000.0,10354.90432029212,50000.0,49099.05857003055,-900.9414299694472
2015-07-08,BUY,11.080259340955122,43.8302,-26.312425563225272,902.5059515563646,10000.0,11257.410271848485,60000.0,124735.02531961331,64735.02531961331
2018-03-09,SELL,33.94535738133073,75.2592,0.0,-5628.705135924242,191068.40743308017,5628.705135924242,30000.0,191068.40743308017,352136.81486616033
2018-04-09,SELL,35.32198046217292,78.3116,-5.577139018668154,-2814.352567962121,99408.50641922421,2814.352567962121,15000.0,99408.50641922421,183817.01283844843
2018-05-10,SELL,39.161091757982945,77.3473,0.0,-1407.1762839810606,55106.55957663978,1407.1762839810606,7500.0,55106.55957663978,102713.11915327956
2018-06-11,SELL,44.09056879463986,85.6537,-5.3241523717484025,-703.5881419905303,31021.601377526313,703.5881419905303,3750.0,31021.601377526313,58293.202755052625
2018-07-11,SELL,40.899357341400275,79.4509,-12.176652975759028,-351.79407099526514,14388.151420221287,351.79407099526514,1875.0,14388.151420221287,26901.302840442575
2018-10-29,BUY,31.941790407963616,54.7502,-31.411270838366747,313.0694889760104,10000.0,664.8635599712755,11875.0,21236.93248249503,9361.93248249503
2018-12-19,BUY,31.150996301995562,53.3885,-33.10934605782395,321.017019906981,10000.0,985.8805798782565,21875.0,30711.16229799681,8836.162297996809
2019-01-28,BUY,30.988271240232752,53.1622,-33.45876620761858,322.7027388032147,10000.0,1308.5833186814712,31875.0,40550.73481974536,8675.734819745361
2019-08-23,SELL,52.10769644862909,78.6276,0.0,-654.2916593407356,34093.631173796886,654.2916593407356,15937.5,34093.631173796886,52249.76234759377
2019-09-23,SELL,55.16848406959436,78.5172,-0.49079422581100873,-327.1458296703678,18048.139492603917,327.1458296703678,7968.75,18048.139492603917,28127.528985207835
